text,label
"expense: Благодійність","Інше"
"expense: Донат","Інше"
"expense: Подарунок","Інше"
"expense: Сувенір","Інше"
"expense: Перекази кошти","Інше"
"expense: Допомога друзям","Інше"
"expense: Переказ родичам","Інше"
"expense: Борг повернення","Інше"
"expense: Комісія банк","Інше"
"expense: Обслуговування картки","Інше"
"expense: Платіж за послуги","Інше"
"expense: Штраф","Інше"
"expense: Нотаріус","Інше"
"expense: Юридичні послуги","Інше"
"expense: Адвокат консультація","Інше"
"expense: Суд оплата","Інше"
"expense: Страхування майна","Інше"
"expense: Пенсійний фонд","Інше"
"expense: Податки","Інше"
"expense: Держмито","Інше"
"expense: Ритуальні послуги","Інше"
"expense: Перукарня","Інше"
"expense: Салон краси СПА","Інше"
"expense: Манікюр","Інше"
"expense: Хімчистка","Інше"
"expense: Прання білизни","Інше"
"expense: Ремонт взуття","Інше"
"expense: Ремонт одягу","Інше"
"expense: Фотопослуги","Інше"
"expense: Друк документів","Інше"
"expense: Копіювання","Інше"
"expense: Скан документів","Інше"
"expense: Послуги нянні","Інше"
"expense: Догситтер","Інше"
"expense: Клінінг оренда","Інше"
"expense: Інше","Інше"
"expense: АТБ супермаркет","Їжа"
"expense: Сільпо продукти","Їжа"
"expense: Novus магазин","Їжа"
"expense: Ашан покупка","Їжа"
"expense: McDonalds їжа","Їжа"
"expense: KFC курка","Їжа"
"expense: Пицца Челентано","Їжа"
"expense: Суші бар","Їжа"
"expense: Ресторан вечеря","Їжа"
"expense: Кафе сніданок","Їжа"
"expense: Булочна хліб","Їжа"
"expense: М'ясний магазин","Їжа"
"expense: Овочевий ринок","Їжа"
"expense: Фрукти базар","Їжа"
"expense: Кондитерська торт","Їжа"
"expense: Пекарня випічка","Їжа"
"expense: Продуктовий магазин","Їжа"
"expense: Гастроном","Їжа"
"expense: Їдальня обід","Їжа"
"expense: Буфет снек","Їжа"
"expense: Burger King","Їжа"
"expense: Subway сендвіч","Їжа"
"expense: Dominos піца","Їжа"
"expense: Вареничная","Їжа"
"expense: Кав'ярня кава","Їжа"
"expense: Бар напої","Їжа"
"expense: Молочний магазин","Їжа"
"expense: Рибний магазин","Їжа"
"expense: Заморожені продукти","Їжа"
"expense: Еко маркет","Їжа"
"expense: Фермерські продукти","Їжа"
"expense: Аптека ліки","Здоров'я"
"expense: Медикаменти","Здоров'я"
"expense: Вітаміни","Здоров'я"
"expense: Prescription","Здоров'я"
"expense: Лікар прийом","Здоров'я"
"expense: Стоматолог","Здоров'я"
"expense: Окуліст","Здоров'я"
"expense: Терапевт","Здоров'я"
"expense: Аналізи лабораторія","Здоров'я"
"expense: УЗД","Здоров'я"
"expense: Рентген","Здоров'я"
"expense: МРТ","Здоров'я"
"expense: Масаж","Здоров'я"
"expense: Фізіотерапія","Здоров'я"
"expense: Мануальна терапія","Здоров'я"
"expense: Реабілітація","Здоров'я"
"expense: Медичні послуги","Здоров'я"
"expense: Страховка здоров'я","Здоров'я"
"expense: Вакцинація","Здоров'я"
"expense: Щеплення","Здоров'я"
"expense: Психолог консультація","Здоров'я"
"expense: Ортопед","Здоров'я"
"expense: Педіатр","Здоров'я"
"expense: Гінеколог","Здоров'я"
"expense: Кардіолог","Здоров'я"
"expense: ЛОР лікар","Здоров'я"
"expense: Дерматолог","Здоров'я"
"expense: Невролог","Здоров'я"
"expense: Медична діагностика","Здоров'я"
"expense: Госпіталізація","Здоров'я"
"expense: Операція","Здоров'я"
"expense: АЗС паливо","Транспорт"
"expense: Бензин Shell","Транспорт"
"expense: ОККО заправка","Транспорт"
"expense: WOG газ","Транспорт"
"expense: Uber поїздка","Транспорт"
"expense: Bolt таксі","Транспорт"
"expense: Uklon транспорт","Транспорт"
"expense: Метро проїзд","Транспорт"
"expense: Автобус квиток","Транспорт"
"expense: Трамвай","Транспорт"
"expense: Таксі міжміське","Транспорт"
"expense: Маршрутка","Транспорт"
"expense: Parking паркування","Транспорт"
"expense: Автомийка","Транспорт"
"expense: СТО ремонт","Транспорт"
"expense: Шиномонтаж","Транспорт"
"expense: Страховка авто","Транспорт"
"expense: Техогляд","Транспорт"
"expense: Автозапчастини","Транспорт"
"expense: Мастило олія","Транспорт"
"expense: Каршеринг","Транспорт"
"expense: Прокат авто","Транспорт"
"expense: Залізниця квиток","Транспорт"
"expense: Автобус міжміський","Транспорт"
