text,label
expense: Витратив на таксі Uber,Транспорт
expense: Купив заправку авто,Транспорт
expense: Витратив на каву,Їжа
expense: Оплатив фрукти в супермаркеті,Їжа
expense: кросівки Adidas,Покупки
expense: Оплатив квиток в кіно,Розваги
expense: таксі Uber,Транспорт
expense: відпочинок,Розваги
expense: Купив подарунок другу,Подарунок
income: Отримав подарунок на Новий Рік,Подарунок
expense: електроенергію,Комунальні
expense: Оплатив ноутбук,Покупки
income: Отримав грошовий подарунок,Подарунок
expense: Оплатив зошити та ручки,Освіта
expense: Витратив на рюкзак,Покупки
expense: парк розваг,Розваги
income: зарплату за місяць,Зарплата
expense: джинси Levi's,Покупки
income: Надійшла замовлення,Фріланс
expense: Витратив на сніданок,Їжа
expense: Витратив на подарунок,Подарунок
income: Отримав кешбек,Інше джерело
expense: Купив поїздку,Транспорт
expense: дрібні витрати,Інше
income: подарунок від друга,Подарунок
expense: Витратив на таблетки,Здоров'я
expense: Оплатив одяг в Zara,Покупки
expense: Купив таксі Uber,Транспорт
income: додатковий дохід,Бонус
expense: проїзд в метро,Транспорт
expense: Витратив на обід,Їжа
expense: Купив навушники,Покупки
expense: Купив білет в кіно,Розваги
expense: Купив сертифікат курсу,Освіта
expense: Оплатив поїздку на таксі,Транспорт
expense: Купив семінар,Освіта
expense: Оплатив продукти в супермаркеті,Їжа
income: Надійшла гроші за iOS розробку,Фріланс
expense: Купив лампочки,Комунальні
income: заробітну плату,Зарплата
expense: фрукти в супермаркеті,Їжа
expense: планшет,Покупки
expense: Оплатив м'ясо,Їжа
expense: Купив подарунок на свято,Подарунок
expense: Оплатив піцу,Їжа
expense: Купив продукти в супермаркеті,Їжа
expense: букет квітів,Подарунок
expense: овочі на ринку,Їжа
expense: Купив доставку їжі,Їжа
income: інший дохід,Інше джерело
expense: Витратив на білет в кіно,Розваги
income: Надійшла гонорар,Фріланс
expense: Оплатив заправку авто,Транспорт
expense: інші витрати,Інше
expense: Оплатив бензин,Транспорт
expense: Витратив на парковку,Транспорт
expense: Витратив на світло,Комунальні
expense: Витратив на джинси Levi's,Покупки
expense: Купив квартплату,Комунальні
expense: Оплатив квиток на концерт,Розваги
expense: Купив ігри,Розваги
expense: Оплатив візит до лікаря,Здоров'я
expense: Оплатив медикаменти,Здоров'я
expense: телефон Samsung,Покупки
expense: Оплатив інтернет Київстар,Комунальні
expense: ліки в аптеці,Здоров'я
income: Надійшла компенсацію витрат,Інше джерело
expense: театр,Розваги
expense: Купив квиток в кіно,Розваги
expense: Оплатив білет на літак,Транспорт
expense: Оплатив вечерю,Їжа
income: повернення боргу,Інше джерело
income: Надійшла тимчасову роботу,Бонус
income: зарплату,Зарплата
income: Отримав оплату за проект,Фріланс
expense: Витратив на підручники для університету,Освіта
expense: подарунок тату,Подарунок
income: Отримав оплату за програмування,Фріланс
income: Отримав замовлення,Фріланс
